Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGX,MS I,61761J406,Morgan Stanley,6.38,12/31/2079,09/18/2014,10/15/2024,BBB-/Baa3,"1,866,917",4.5779720964354E7,0.99,03/29/2023
PGX,ALL H,020002838,Allstate Corp/The,5.10,12/31/2079,08/08/2019,10/15/2024,BBB/Baa2,"2,036,483",4.509027922375E7,0.97,03/29/2023
PGX,MS O,61762V861,Morgan Stanley,4.25,12/31/2079,10/25/2021,01/15/2027,BBB-/Baa3,"2,376,072",4.4514223875E7,0.96,03/29/2023
PGX,DUK A,26441C501,Duke Energy Corp,5.75,12/31/2079,03/29/2019,06/15/2024,BBB-/Ba1,"1,718,175",4.393373475E7,0.95,03/29/2023
PGX,BAC Q,06055H806,Bank of America Corp,4.25,12/31/2079,10/26/2021,11/17/2026,BBB-/Baa3,"2,362,140",4.2872841E7,0.92,03/29/2023
PGX,MS P,61762V853,Morgan Stanley,6.50,12/31/2079,08/02/2022,10/15/2027,BBB-/Baa3,"1,702,249",4.268176586375E7,0.92,03/29/2023
PGX,COF J,14040H782,Capital One Financial Corp,4.80,12/31/2079,01/31/2020,06/01/2025,BB/Baa3,"2,254,283",4.208746361E7,0.91,03/29/2023
PGX,MS K,61762V606,Morgan Stanley,5.85,12/31/2079,01/31/2017,04/15/2027,BBB-/Baa3,"1,709,356",4.14593614325E7,0.89,03/29/2023
PGX,BAC K,060505195,Bank of America Corp,5.88,12/31/2079,07/24/2018,07/24/2023,BBB-/Baa3,"1,694,597",4.0742029788264E7,0.88,03/29/2023
PGX,BAC O,06055H400,Bank of America Corp,4.38,12/31/2079,10/29/2020,11/03/2025,BBB-/Baa3,"2,181,841",4.071315306E7,0.88,03/29/2023
PGX,SOJD,842587800,Southern Co/The,4.95,01/30/2080,01/09/2020,01/30/2025,BBB-/Baa3,"1,771,310",4.00493191E7,0.86,03/29/2023
PGX,WFC A,94988U128,Wells Fargo & Co,4.70,12/31/2079,10/28/2020,12/15/2025,BB+/Baa2,"2,083,177",3.949703592E7,0.85,03/29/2023
PGX,WFC D,95002Y400,Wells Fargo & Co,4.25,12/31/2079,07/27/2021,09/15/2026,BB+/Baa2,"2,245,635",3.8624922E7,0.83,03/29/2023
PGX,MET F,59156R850,MetLife Inc,4.75,12/31/2079,01/15/2020,03/15/2025,BBB/Baa2,"1,737,053",3.755508586E7,0.81,03/29/2023
PGX,WFC R,949746465,Wells Fargo & Co,6.62,12/31/2079,12/18/2013,03/15/2024,BB+/Baa2,"1,507,355",3.649306455E7,0.79,03/29/2023
PGX,TBC,00206R409,AT&T Inc,5.62,08/01/2067,08/01/2018,08/01/2023,BBB/Baa2,"1,473,262",3.600652328E7,0.78,03/29/2023
PGX,MET E,59156R876,MetLife Inc,5.62,12/31/2079,06/04/2018,06/15/2023,NA/Baa2,"1,459,292",3.592776904E7,0.77,03/29/2023
PGX,JPM J,48128B622,JPMorgan Chase & Co,4.75,12/31/2079,11/07/2019,12/01/2024,BBB-/Baa2,"1,617,889",3.444485681E7,0.74,03/29/2023
PGX,AEFC,00775V104,AEGON Funding Co LLC,5.10,12/15/2049,10/22/2019,12/15/2024,BBB-/Baa1,"1,628,998",3.422524798E7,0.74,03/29/2023
PGX,TFC R,89832Q695,Truist Financial Corp,4.75,12/31/2079,08/03/2020,09/01/2025,BBB-/Baa2,"1,658,287",3.387880341E7,0.73,03/29/2023
PGX,ET E,29273V605,Energy Transfer LP,7.60,,04/05/2021,05/15/2024,BB/NR,"1,450,362",3.377893098E7,0.73,03/29/2023
PGX,SREA,816851604,Sempra Energy,5.75,07/01/2079,06/26/2019,10/01/2024,BBB-/Baa3,"1,369,411",3.348209895E7,0.72,03/29/2023
PGX,WFC C,95002Y202,Wells Fargo & Co,4.38,12/31/2079,02/01/2021,03/15/2026,BB+/Baa2,"1,878,657",3.310193634E7,0.71,03/29/2023
PGX,ATH-PA,G0684D305,Athene Holding Ltd,6.35,12/31/2079,06/10/2019,06/30/2029,BBB/Baa3,"1,565,571",3.308051523E7,0.71,03/29/2023
PGX,RZC,759351885,Reinsurance Group of America Inc,7.12,10/15/2052,09/23/2022,10/15/2027,BBB+/Baa2,"1,273,229",3.2982598724323E7,0.71,03/29/2023
PGX,F C,345370837,Ford Motor Co,6.00,12/01/2059,12/11/2019,12/01/2024,BB+/Ba2,"1,419,212",3.281218144E7,0.71,03/29/2023
PGX,BAC P,06055H608,Bank of America Corp,4.12,12/31/2079,01/28/2021,02/02/2026,BBB-/Baa3,"1,856,702",3.271508924E7,0.70,03/29/2023
PGX,F B,345370845,Ford Motor Co,6.20,06/01/2059,05/28/2019,06/01/2024,BB+/NR,"1,329,266",3.17694574E7,0.68,03/29/2023
PGX,SCHW D,808513600,Charles Schwab Corp/The,5.95,12/31/2079,03/07/2016,06/01/2023,BBB/Baa2,"1,298,804",3.082061892E7,0.66,03/29/2023
PGX,GS K,38148B108,Goldman Sachs Group Inc/The,6.38,12/31/2079,04/28/2014,05/10/2024,BB+/Ba1,"1,221,805",3.07406138E7,0.66,03/29/2023
PGX,NEE N,65339K860,NextEra Energy Capital Holdings Inc,5.65,03/01/2079,03/15/2019,06/15/2024,BBB/Baa2,"1,206,681",3.071003145E7,0.66,03/29/2023
PGX,STT D,857477608,State Street Corp,5.90,12/31/2079,03/04/2014,03/15/2024,BBB/Baa1,"1,319,363",3.068838338E7,0.66,03/29/2023
PGX,EQH A,29452E200,Equitable Holdings Inc,5.25,12/31/2079,11/27/2019,12/15/2024,BBB-/Baa3,"1,371,779",2.945209513E7,0.63,03/29/2023
PGX,WFC Y,94988U656,Wells Fargo & Co,5.62,12/31/2079,04/24/2017,06/15/2023,BB+/Baa2,"1,215,206",2.7949738E7,0.60,03/29/2023
PGX,USB P,902973759,US Bancorp,5.50,12/31/2079,08/14/2018,10/15/2023,BBB+/Baa1,"1,140,850",2.77297853125E7,0.60,03/29/2023
PGX,CMSD,125896845,CMS Energy Corp,5.88,03/01/2079,02/20/2019,03/01/2024,BBB-/Baa3,"1,122,858",2.70047349E7,0.58,03/29/2023
PGX,SOJE,842587883,Southern Co/The,4.20,10/15/2060,09/18/2020,10/15/2025,BBB-/Baa3,"1,356,878",2.681190928E7,0.58,03/29/2023
PGX,WCC A,95082P303,WESCO International Inc,10.62,12/31/2079,06/22/2020,06/22/2025,NR/NR,"980,565",2.62006968E7,0.56,03/29/2023
PGX,CTBB,74913G881,Qwest Corp,6.50,09/01/2056,08/22/2016,04/13/2023,BB-/B1,"1,781,639",2.595848023E7,0.56,03/29/2023
PGX,ALL G,020002127,Allstate Corp/The,5.62,12/31/2079,03/29/2018,04/17/2023,BBB-/Baa3,"1,034,431",2.5786748014347E7,0.56,03/29/2023
PGX,F D,345370811,Ford Motor Co,6.50,08/15/2062,08/15/2022,08/15/2027,BB+/Ba2,"1,073,566",2.509997308E7,0.54,03/29/2023
PGX,PRS,744320805,Prudential Financial Inc,5.62,08/15/2058,08/13/2018,08/15/2023,BBB+/Baa1,"1,016,155",2.4997413E7,0.54,03/29/2023
PGX,BAC S,06055H871,Bank of America Corp,4.75,12/31/2079,01/31/2022,02/17/2027,BBB-/Baa3,"1,201,100",2.4586517E7,0.53,03/29/2023
PGX,USB R,902973718,US Bancorp,4.00,12/31/2079,02/02/2021,04/15/2026,BBB+/Baa1,"1,323,661",2.436859901E7,0.52,03/29/2023
PGX,KEY L,493267843,KeyCorp,6.20,12/31/2079,08/24/2022,12/15/2027,BB+/Baa3,"1,088,822",2.370365494E7,0.51,03/29/2023
PGX,ATH C,04686J309,Athene Holding Ltd,6.38,12/31/2079,06/11/2020,06/30/2025,BBB/Baa3,"1,049,918",2.345516812E7,0.50,03/29/2023
PGX,DUKB,26441C402,Duke Energy Corp,5.62,09/15/2078,09/17/2018,09/15/2023,BBB-/Baa3,"912,865",2.29129115E7,0.49,03/29/2023
PGX,TFC O,89832Q745,Truist Financial Corp,5.25,12/31/2079,05/27/2020,06/01/2025,BBB-/Baa2,"1,016,150",2.2782083E7,0.49,03/29/2023
PGX,LNC D,534187885,Lincoln National Corp,9.00,12/31/2079,11/22/2022,12/01/2027,BBB-/Baa3,"908,000",2.276356E7,0.49,03/29/2023
PGX,ATH E,04686J507,Athene Holding Ltd,7.75,12/31/2079,12/12/2022,12/30/2027,BBB/Baa3,"975,454",2.25817601E7,0.49,03/29/2023
PGX,SYF A,87165B202,Synchrony Financial,5.62,12/31/2079,11/14/2019,11/15/2024,BB-/NR,"1,298,628",2.221952508E7,0.48,03/29/2023
PGX,STT G,857477855,State Street Corp,5.35,12/31/2079,04/11/2016,03/15/2026,BBB/Baa1,"885,922",2.215690922E7,0.48,03/29/2023
PGX,SCHW J,808513865,Charles Schwab Corp/The,4.45,12/31/2079,03/30/2021,06/01/2026,BBB/Baa2,"1,099,638",2.20477419E7,0.47,03/29/2023
PGX,MS L,61762V804,Morgan Stanley,4.88,12/31/2079,11/25/2019,01/15/2025,BBB-/Baa3,"993,295",2.199682768304E7,0.47,03/29/2023
PGX,PSA L,74460W552,Public Storage,4.62,12/31/2079,06/17/2020,06/17/2025,BBB+/A3,"1,054,178",2.18214846E7,0.47,03/29/2023
PGX,RF B,7591EP506,Regions Financial Corp,6.38,12/31/2079,04/29/2014,09/15/2024,BB+/Baa3,"902,497",2.13891789E7,0.46,03/29/2023
PGX,COF L,14040H758,Capital One Financial Corp,4.38,12/31/2079,05/04/2021,09/01/2026,BB/Baa3,"1,250,684",2.092394332E7,0.45,03/29/2023
PGX,AXS E,05461T305,Axis Capital Holdings Ltd,5.50,12/31/2079,11/07/2016,04/28/2023,BBB/Baa3,"978,801",2.070775865625E7,0.45,03/29/2023
PGX,NI B,65473P881,NiSource Inc,6.50,12/31/2079,12/05/2018,03/15/2024,BBB-/Ba1,"864,360",2.06409168E7,0.44,03/29/2023
PGX,KEY I,493267702,KeyCorp,6.12,12/31/2079,12/12/2016,12/15/2026,BB+/Baa3,"904,588",2.060651464E7,0.44,03/29/2023
PGX,PSA P,74460W461,Public Storage,4.00,09/30/2069,06/16/2021,06/16/2026,BBB+/A3,"1,128,708",2.057634684E7,0.44,03/29/2023
PGX,AIG A,026874768,American International Group Inc,5.85,12/31/2079,03/14/2019,03/15/2024,NA/Ba1,"851,786",2.03150961E7,0.44,03/29/2023
PGX,NYCB A,649445202,New York Community Bancorp Inc,6.38,12/31/2079,03/17/2017,03/17/2027,NR/Ba2,"879,197",2.0221531E7,0.44,03/29/2023
PGX,PSA G,74460W669,Public Storage,5.05,12/31/2079,08/09/2017,04/28/2023,BBB+/A3,"841,842",1.964017386E7,0.42,03/29/2023
PGX,QRTEP,74915M308,Qurate Retail Inc,8.00,03/15/2031,09/17/2020,09/15/2025,NR/NR,"582,276",1.9360677E7,0.42,03/29/2023
PGX,SOJC,842587404,Southern Co/The,5.25,12/01/2077,11/22/2017,04/28/2023,BBB-/Baa3,"791,983",1.93151189989E7,0.42,03/29/2023
PGX,BPYPM,G1624R107,Brookfield Property Preferred LP,6.25,07/26/2081,07/26/2021,07/26/2026,BB/NR,"1,158,060",1.9281699E7,0.42,03/29/2023
PGX,RF C,7591EP704,Regions Financial Corp,5.70,12/31/2079,04/30/2019,05/15/2029,BB+/Baa3,"892,134",1.911843162E7,0.41,03/29/2023
PGX,C K,172967341,Citigroup Inc,6.88,12/31/2079,10/31/2013,11/15/2023,BB+/Ba1,"763,639",1.905279305E7,0.41,03/29/2023
PGX,SCE L,78410V200,SCE Trust VI,5.00,12/31/2079,06/26/2017,04/28/2023,BB+/Baa3,"922,456",1.849985508E7,0.40,03/29/2023
PGX,RZB,759351802,Reinsurance Group of America Inc,5.75,06/15/2056,06/08/2016,06/15/2026,BBB+/Baa2,"726,373",1.825375349E7,0.39,03/29/2023
PGX,BHFAN,10922N707,Brighthouse Financial Inc,5.38,12/31/2079,11/20/2020,12/25/2025,BBB-/Ba2,"1,038,442",1.783004914E7,0.38,03/29/2023
PGX,KEY K,493267868,KeyCorp,5.62,12/31/2079,04/29/2019,09/15/2024,BB+/Baa3,"795,833",1.772320091E7,0.38,03/29/2023
PGX,ACGLN,03939A404,Arch Capital Group Ltd,4.55,12/31/2079,06/11/2021,06/11/2026,BBB/Baa3,"926,658",1.771770096E7,0.38,03/29/2023
PGX,UZD,911684702,United States Cellular Corp,6.25,09/01/2069,08/12/2020,09/01/2025,BB/Ba2,"910,822",1.70323714E7,0.37,03/29/2023
PGX,BHFAP,10922N301,Brighthouse Financial Inc,6.60,12/31/2079,03/25/2019,03/25/2024,BBB-/Ba2,"744,538",1.69754664E7,0.37,03/29/2023
PGX,PFH,744320888,Prudential Financial Inc,4.12,09/01/2060,08/21/2020,09/01/2025,BBB+/Baa1,"843,898",1.690327694E7,0.36,03/29/2023
PGX,DTW,233331859,DTE Energy Co,5.25,12/01/2077,11/17/2017,04/28/2023,BBB-/Baa3,"727,289",1.688765058E7,0.36,03/29/2023
PGX,TDS V,879433761,Telephone and Data Systems Inc,6.00,12/31/2079,08/16/2021,09/30/2026,B/Ba3,"1,262,323",1.676364944E7,0.36,03/29/2023
PGX,ATH D,04686J408,Athene Holding Ltd,4.88,12/31/2079,12/18/2020,12/30/2025,BBB/NR,"1,005,499",1.65907335E7,0.36,03/29/2023
PGX,BHFAO,10922N509,Brighthouse Financial Inc,6.75,12/31/2079,05/21/2020,06/25/2025,BBB-/Ba2,"684,571",1.626540696E7,0.35,03/29/2023
PGX,AEL A,025676503,American Equity Investment Life Holding Co,5.95,12/31/2079,11/21/2019,12/01/2024,BB/NA,"736,897",1.624120988E7,0.35,03/29/2023
PGX,KKRS,48253M104,KKR Group Finance Co IX LLC,4.62,04/01/2061,03/31/2021,04/01/2026,BBB+/NR,"888,299",1.611374386E7,0.35,03/29/2023
PGX,HBANP,446150823,Huntington Bancshares Inc/OH,4.50,12/31/2079,02/09/2021,04/15/2026,BB+/Baa3,"907,632",1.60821045E7,0.35,03/29/2023
PGX,RNR G,G7498P127,RenaissanceRe Holdings Ltd,4.20,12/31/2079,07/12/2021,07/15/2026,BBB/NR,"933,926",1.607286646E7,0.35,03/29/2023
PGX,CTDD,74913G873,Qwest Corp,6.75,06/15/2057,04/27/2017,04/13/2023,BB-/B1,"1,095,803",1.604255592E7,0.35,03/29/2023
PGX,CFG E,174610402,Citizens Financial Group Inc,5.00,12/31/2079,10/28/2019,01/06/2025,BB+/Baa3,"801,612",1.59921594E7,0.34,03/29/2023
PGX,NTRSO,665859856,Northern Trust Corp,4.70,12/31/2079,11/05/2019,01/01/2025,BBB+/Baa1,"713,867",1.59906208E7,0.34,03/29/2023
PGX,BHFAL,10922N202,Brighthouse Financial Inc,6.25,09/15/2058,09/12/2018,09/15/2023,BBB-/Ba1,"704,610",1.56141576E7,0.34,03/29/2023
PGX,KEY J,493267876,KeyCorp,5.65,12/31/2079,07/30/2018,12/15/2023,BB+/Baa3,"762,487",1.560810889E7,0.34,03/29/2023
PGX,ESGRP,29359U109,Enstar Group Ltd,7.00,12/31/2079,06/27/2018,09/01/2028,BB+/NR,"724,772",1.560434116E7,0.34,03/29/2023
PGX,CGABL,14314C105,Carlyle Finance LLC,4.62,05/15/2061,05/04/2021,05/15/2026,BBB/NA,"861,439",1.554035956E7,0.33,03/29/2023
PGX,USB Q,902973734,US Bancorp,3.75,12/31/2079,10/27/2020,01/15/2026,BBB+/Baa1,"871,008",1.54740015E7,0.33,03/29/2023
PGX,HIG G,416518603,Hartford Financial Services Group Inc/The,6.00,12/31/2079,11/06/2018,11/15/2023,BBB-/Baa3,"588,600",1.4985756E7,0.32,03/29/2023
PGX,UZE,911684801,United States Cellular Corp,5.50,03/01/2070,12/02/2020,03/01/2026,BB/Ba2,"884,134",1.49418646E7,0.32,03/29/2023
PGX,UZF,911684884,United States Cellular Corp,5.50,06/01/2070,05/17/2021,06/01/2026,BB/Ba2,"878,351",1.485291541E7,0.32,03/29/2023
PGX,USB S,902973668,US Bancorp,4.50,12/31/2079,02/09/2022,04/15/2027,BBB+/Baa1,"698,102",1.45685161125E7,0.31,03/29/2023
PGX,FCNCP,319626305,First Citizens BancShares Inc/NC,5.38,12/31/2079,03/12/2020,03/15/2025,NR/Ba1,"665,566",1.45093388E7,0.31,03/29/2023
PGX,PSA S,74460W396,Public Storage,4.10,12/31/2079,01/13/2022,01/13/2027,BBB+/A3,"780,768",1.417874688E7,0.31,03/29/2023
PGX,PRH,744320870,Prudential Financial Inc,5.95,09/01/2062,08/17/2022,09/01/2027,BBB+/Baa1,"565,722",1.409213502E7,0.30,03/29/2023
PGX,AQNB,015857808,Algonquin Power & Utilities Corp,6.20,07/01/2079,05/23/2019,07/01/2024,BB+/NR,"596,159",1.388454311E7,0.30,03/29/2023
PGX,ASBA,045487600,Associated Banc-Corp,6.62,03/01/2033,02/10/2023,03/01/2028,BBB-/Baa1,"590,728",1.330319456E7,0.29,03/29/2023
PGX,SCE-PK,78409W201,SCE Trust V,5.45,12/31/2079,03/08/2016,03/15/2026,BB+/Baa3,"593,109",1.327971051E7,0.29,03/29/2023
PGX,UNMA,91529Y601,Unum Group,6.25,06/15/2058,05/29/2018,06/15/2023,BB+/Ba1,"547,471",1.322142465E7,0.28,03/29/2023
PGX,SCE J,78409G206,SCE Trust IV,5.38,12/31/2079,08/24/2015,09/15/2025,BB+/Baa3,"669,708",1.321333884E7,0.28,03/29/2023
PGX,PSA R,74460W420,Public Storage,4.00,12/31/2079,11/19/2021,11/19/2026,NR/A3,"722,496",1.298325312E7,0.28,03/29/2023
PGX,SNV E,87161C709,Synovus Financial Corp,5.88,12/31/2079,07/01/2019,07/01/2024,BB-/NR,"614,269",1.2939576485E7,0.28,03/29/2023
PGX,PACWP,695263202,PacWest Bancorp,7.75,12/31/2079,06/06/2022,09/01/2027,NR/NR,"888,774",1.2887223E7,0.28,03/29/2023
PGX,ACGLO,03939A107,Arch Capital Group Ltd,5.45,12/31/2079,08/17/2017,04/28/2023,BBB/NA,"556,978",1.2532005E7,0.27,03/29/2023
PGX,RF E,7591EP886,Regions Financial Corp,4.45,12/31/2079,05/04/2021,06/15/2026,BB+/Baa3,"702,076",1.240568292E7,0.27,03/29/2023
PGX,COF N,14040H733,Capital One Financial Corp,4.25,12/31/2079,07/29/2021,09/01/2026,BB/Baa3,"758,518",1.24017693E7,0.27,03/29/2023
PGX,AEL B,025676602,American Equity Investment Life Holding Co,6.62,12/31/2079,06/17/2020,09/01/2025,BB/NR,"511,832",1.238121608E7,0.27,03/29/2023
PGX,CFG D,174610204,Citizens Financial Group Inc,6.35,12/31/2079,01/29/2019,04/06/2024,BB+/Baa3,"518,292",1.2179862E7,0.26,03/29/2023
PGX,EAI,29364D100,Entergy Arkansas LLC,4.88,09/01/2066,08/16/2016,04/28/2023,A/A2,"536,320",1.21422848E7,0.26,03/29/2023
PGX,PSA F,74460W685,Public Storage,5.15,12/31/2079,06/02/2017,04/28/2023,BBB+/A3,"513,047",1.20518331629E7,0.26,03/29/2023
PGX,DLR L,253868822,Digital Realty Trust Inc,5.20,12/31/2079,10/10/2019,10/10/2024,BB+/Baa3,"583,930",1.20464759E7,0.26,03/29/2023
PGX,MER K,060505179,Bank of America Corp,6.45,12/15/2066,10/18/2018,04/28/2023,BBB-/Baa2,"476,367",1.19568117E7,0.26,03/29/2023
PGX,GPJA,373334440,Georgia Power Co,5.00,10/01/2077,09/21/2017,04/13/2023,BBB-/Baa2,"487,087",1.19470263925E7,0.26,03/29/2023
PGX,ATH B,04686J200,Athene Holding Ltd,5.62,12/31/2079,09/19/2019,09/30/2024,BBB/Baa3,"605,088",1.18597248E7,0.26,03/29/2023
PGX,VOYA B,929089209,Voya Financial Inc,5.35,12/31/2079,06/18/2019,09/15/2029,BBB-/Ba2,"526,491",1.17407493E7,0.25,03/29/2023
PGX,PBI B,724479506,Pitney Bowes Inc,6.70,03/07/2043,03/07/2013,04/28/2023,BB-/B3,"786,775",1.166787325E7,0.25,03/29/2023
PGX,ENO,29364P103,Entergy New Orleans LLC,5.50,04/01/2066,03/22/2016,04/28/2023,BBB/Baa2,"486,526",1.16066858875E7,0.25,03/29/2023
PGX,MGR,008252850,Affiliated Managers Group Inc,5.88,03/30/2059,03/27/2019,03/30/2024,BBB-/Baa1,"515,251",1.153646989E7,0.25,03/29/2023
PGX,PSA H,74460W644,Public Storage,5.60,,03/11/2019,03/11/2024,BBB+/A3,"456,570",1.1459907E7,0.25,03/29/2023
PGX,AAM B,03769W302,Apollo Asset Management Inc,6.38,12/31/2079,03/19/2018,04/28/2023,BBB/NR,"528,727",1.134648142E7,0.24,03/29/2023
PGX,CMSC,125896852,CMS Energy Corp,5.88,10/15/2078,09/26/2018,10/15/2023,BBB-/Baa3,"475,742",1.1338269646504E7,0.24,03/29/2023
PGX,MTB H,55261F872,M&T Bank Corp,5.62,,04/05/2022,12/15/2026,BB+/NR,"471,981",1.12803459E7,0.24,03/29/2023
PGX,WTFCP,97650W504,Wintrust Financial Corp,6.88,12/31/2079,05/15/2020,07/15/2025,NR/NR,"498,240",1.12753256544E7,0.24,03/29/2023
PGX,TDS U,879433787,Telephone and Data Systems Inc,6.62,12/31/2079,03/02/2021,03/31/2026,B/Ba3,"756,847",1.121647254E7,0.24,03/29/2023
PGX,AQNA,015857709,Algonquin Power & Utilities Corp,6.88,10/17/2078,10/17/2018,10/17/2023,BB+/NA,"478,622",1.120932724E7,0.24,03/29/2023
PGX,ELC,29364W108,Entergy Louisiana LLC,4.88,09/01/2066,08/17/2016,04/28/2023,A/A2,"489,374",1.120177086E7,0.24,03/29/2023
PGX,ALL I,020002812,Allstate Corp/The,4.75,12/31/2079,11/08/2019,01/15/2025,BBB/Baa2,"516,575",1.1076982296875E7,0.24,03/29/2023
PGX,JSM,63938C405,Navient Corp,6.00,12/15/2043,12/15/2003,04/28/2023,B+/Ba3,"590,492",1.09831512E7,0.24,03/29/2023
PGX,EMP,29364N108,Entergy Mississippi LLC,4.90,10/01/2066,09/15/2016,04/28/2023,A/A2,"484,955",1.092785473125E7,0.24,03/29/2023
PGX,GL D,37959E300,Globe Life Inc,4.25,06/15/2061,06/14/2021,06/15/2026,BBB+/Baa2,"561,241",1.07596073351E7,0.23,03/29/2023
PGX,BHFAM,10922N889,Brighthouse Financial Inc,4.62,12/31/2079,11/22/2021,12/25/2026,BBB-/Ba2,"675,995",1.068748095E7,0.23,03/29/2023
PGX,BNH,11271L102,Brookfield Finance Inc,4.62,10/16/2080,10/16/2020,10/16/2025,BBB/Baa2,"692,929",1.0540099364473E7,0.23,03/29/2023
PGX,WRB F,084423805,W R Berkley Corp,5.10,12/30/2059,12/16/2019,12/30/2024,BBB-/NA,"515,672",1.03907908E7,0.22,03/29/2023
PGX,EQH C,29452E408,Equitable Holdings Inc,4.30,12/31/2079,01/08/2021,03/15/2026,BBB-/Baa3,"558,069",1.02319718874E7,0.22,03/29/2023
PGX,SR A,84857L309,Spire Inc,5.90,12/31/2079,05/21/2019,08/15/2024,BBB/Ba1,"427,483",1.022966819E7,0.22,03/29/2023
PGX,AAM A,03769W203,Apollo Asset Management Inc,6.38,12/31/2079,03/07/2017,04/28/2023,BBB/NR,"481,132",1.017113048E7,0.22,03/29/2023
PGX,BC C,117043604,Brunswick Corp/DE,6.38,04/15/2049,03/04/2019,04/15/2024,BBB-/Baa2,"403,968",1.0140227798016E7,0.22,03/29/2023
PGX,NRUC,637432105,National Rural Utilities Cooperative Finance Corp,5.50,05/15/2064,05/06/2019,05/15/2024,BBB/A3,"428,235",9990722.55,0.22,03/29/2023
PGX,DTG,233331818,DTE Energy Co,4.38,12/01/2081,11/24/2021,12/01/2026,BBB-/Baa3,"500,409",9918106.38,0.21,03/29/2023
PGX,RNR F,75968N309,RenaissanceRe Holdings Ltd,5.75,12/31/2079,06/18/2018,06/30/2023,BBB/Baa2,"441,912",9916505.28,0.21,03/29/2023
PGX,AL A,00912X500,Air Lease Corp,6.15,12/31/2079,03/05/2019,03/15/2024,BB+/NR,"450,308",9555535.76,0.21,03/29/2023
PGX,SCE H,78409B207,SCE Trust III,5.75,12/31/2079,03/06/2014,03/15/2024,BB+/Baa3,"469,424",9519918.72,0.20,03/29/2023
PGX,BEPH,11259P109,Brookfield BRP Holdings Canada Inc,4.62,12/31/2079,04/15/2021,04/30/2026,BBB-/NR,"616,681",9373551.2,0.20,03/29/2023
PGX,FITBO,316773860,Fifth Third Bancorp,4.95,12/31/2079,09/17/2019,09/30/2024,BB+/Baa3,"432,529",9273421.76,0.20,03/29/2023
PGX,PSA N,74460W511,Public Storage,3.88,12/31/2079,10/06/2020,10/06/2025,BBB+/A3,"520,758",9249182.838,0.20,03/29/2023
PGX,DLR J,253868855,Digital Realty Trust Inc,5.25,12/31/2079,08/07/2017,04/28/2023,BB+/Baa3,"445,751",9231503.21,0.20,03/29/2023
PGX,TCBIO,88224Q305,Texas Capital Bancshares Inc,5.75,12/31/2079,03/03/2021,06/15/2026,BB-/Ba2,"501,856",9133779.2,0.20,03/29/2023
PGX,WRB H,084423870,W R Berkley Corp,4.12,03/30/2061,02/10/2021,03/30/2026,BBB-/Baa2,"530,365",9122278.0,0.20,03/29/2023
PGX,SF C,860630870,Stifel Financial Corp,6.12,12/31/2079,05/19/2020,06/15/2025,BB-/NR,"391,301",9070357.18,0.20,03/29/2023
