Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGF,ATH-PA,G0684D305,Athene Holding Ltd,6.35,12/31/2079,06/10/2019,06/30/2029,BBB/Baa3,"589,033",1.244626729E7,1.16,03/29/2023
PGF,WFC C,95002Y202,Wells Fargo & Co,4.38,12/31/2079,02/01/2021,03/15/2026,BB+/Baa2,"696,160",1.22663392E7,1.15,03/29/2023
PGF,SCHW D,808513600,Charles Schwab Corp/The,5.95,12/31/2079,03/07/2016,06/01/2023,BBB/Baa2,"508,056",1.205616888E7,1.13,03/29/2023
PGF,GS K,38148B108,Goldman Sachs Group Inc/The,6.38,12/31/2079,04/28/2014,05/10/2024,BB+/Ba1,"473,866",1.192246856E7,1.11,03/29/2023
PGF,STT D,857477608,State Street Corp,5.90,12/31/2079,03/04/2014,03/15/2024,BBB/Baa1,"505,766",1.176411716E7,1.10,03/29/2023
PGF,EQH A,29452E200,Equitable Holdings Inc,5.25,12/31/2079,11/27/2019,12/15/2024,BBB-/Baa3,"542,505",1.164758235E7,1.09,03/29/2023
PGF,BAC P,06055H608,Bank of America Corp,4.12,12/31/2079,01/28/2021,02/02/2026,BBB-/Baa3,"616,361",1.086028082E7,1.01,03/29/2023
PGF,WFC Y,94988U656,Wells Fargo & Co,5.62,12/31/2079,04/24/2017,06/15/2023,BB+/Baa2,"454,667",1.0457341E7,0.98,03/29/2023
PGF,USB R,902973718,US Bancorp,4.00,12/31/2079,02/02/2021,04/15/2026,BBB+/Baa1,"539,239",9927389.99,0.93,03/29/2023
PGF,ALL G,020002127,Allstate Corp/The,5.62,12/31/2079,03/29/2018,04/17/2023,BBB-/Baa3,"387,194",9652141.235778,0.90,03/29/2023
PGF,BAC S,06055H871,Bank of America Corp,4.75,12/31/2079,01/31/2022,02/17/2027,BBB-/Baa3,"454,401",9301588.47,0.87,03/29/2023
PGF,USB P,902973759,US Bancorp,5.50,12/31/2079,08/14/2018,10/15/2023,BBB+/Baa1,"370,511",9005732.99375,0.84,03/29/2023
PGF,ATH C,04686J309,Athene Holding Ltd,6.38,12/31/2079,06/11/2020,06/30/2025,BBB/Baa3,"401,235",8963589.9,0.84,03/29/2023
PGF,SYF A,87165B202,Synchrony Financial,5.62,12/31/2079,11/14/2019,11/15/2024,BB-/NR,"508,480",8700092.8,0.81,03/29/2023
PGF,TFC O,89832Q745,Truist Financial Corp,5.25,12/31/2079,05/27/2020,06/01/2025,BBB-/Baa2,"387,707",8692390.94,0.81,03/29/2023
PGF,STT G,857477855,State Street Corp,5.35,12/31/2079,04/11/2016,03/15/2026,BBB/Baa1,"339,446",8489544.46,0.79,03/29/2023
PGF,LNC D,534187885,Lincoln National Corp,9.00,12/31/2079,11/22/2022,12/01/2027,BBB-/Baa3,"337,841",8469673.87,0.79,03/29/2023
PGF,SCHW J,808513865,Charles Schwab Corp/The,4.45,12/31/2079,03/30/2021,06/01/2026,BBB/Baa2,"405,228",8124821.4,0.76,03/29/2023
PGF,KEY I,493267702,KeyCorp,6.12,12/31/2079,12/12/2016,12/15/2026,BB+/Baa3,"354,718",8080476.04,0.76,03/29/2023
PGF,AIG A,026874768,American International Group Inc,5.85,12/31/2079,03/14/2019,03/15/2024,NA/Ba1,"338,684",8077613.4,0.75,03/29/2023
PGF,NYCB A,649445202,New York Community Bancorp Inc,6.38,12/31/2079,03/17/2017,03/17/2027,NR/Ba2,"348,740",8021020.0,0.75,03/29/2023
PGF,RF B,7591EP506,Regions Financial Corp,6.38,12/31/2079,04/29/2014,09/15/2024,BB+/Baa3,"335,263",7945733.1,0.74,03/29/2023
PGF,AXS E,05461T305,Axis Capital Holdings Ltd,5.50,12/31/2079,11/07/2016,04/28/2023,BBB/Baa3,"372,228",7874948.625,0.74,03/29/2023
PGF,KEY L,493267843,KeyCorp,6.20,12/31/2079,08/24/2022,12/15/2027,BB+/Baa3,"352,444",7672705.88,0.72,03/29/2023
PGF,ATH E,04686J507,Athene Holding Ltd,7.75,12/31/2079,12/12/2022,12/30/2027,BBB/Baa3,"322,477",7465342.55,0.70,03/29/2023
PGF,FITBI,316773605,Fifth Third Bancorp,6.62,12/31/2079,12/09/2013,12/31/2023,BB+/Baa3,"305,293",7375878.88,0.69,03/29/2023
PGF,COF L,14040H758,Capital One Financial Corp,4.38,12/31/2079,05/04/2021,09/01/2026,BB/Baa3,"439,890",7359359.7,0.69,03/29/2023
PGF,RF C,7591EP704,Regions Financial Corp,5.70,12/31/2079,04/30/2019,05/15/2029,BB+/Baa3,"343,402",7359104.86,0.69,03/29/2023
PGF,MS L,61762V804,Morgan Stanley,4.88,12/31/2079,11/25/2019,01/15/2025,BBB-/Baa3,"331,282",7336343.249984,0.69,03/29/2023
PGF,KEY K,493267868,KeyCorp,5.62,12/31/2079,04/29/2019,09/15/2024,BB+/Baa3,"325,602",7251156.54,0.68,03/29/2023
PGF,ACGLN,03939A404,Arch Capital Group Ltd,4.55,12/31/2079,06/11/2021,06/11/2026,BBB/Baa3,"357,857",6842225.84,0.64,03/29/2023
PGF,ATH D,04686J408,Athene Holding Ltd,4.88,12/31/2079,12/18/2020,12/30/2025,BBB/NR,"414,080",6832320.0,0.64,03/29/2023
PGF,BHFAN,10922N707,Brighthouse Financial Inc,5.38,12/31/2079,11/20/2020,12/25/2025,BBB-/Ba2,"394,822",6779093.74,0.63,03/29/2023
PGF,BHFAP,10922N301,Brighthouse Financial Inc,6.60,12/31/2079,03/25/2019,03/25/2024,BBB-/Ba2,"288,678",6581858.4,0.62,03/29/2023
PGF,USB Q,902973734,US Bancorp,3.75,12/31/2079,10/27/2020,01/15/2026,BBB+/Baa1,"369,954",6572464.03125,0.61,03/29/2023
PGF,AEL A,025676503,American Equity Investment Life Holding Co,5.95,12/31/2079,11/21/2019,12/01/2024,BB/NA,"288,718",6363344.72,0.59,03/29/2023
PGF,BHFAO,10922N509,Brighthouse Financial Inc,6.75,12/31/2079,05/21/2020,06/25/2025,BBB-/Ba2,"264,783",6291244.08,0.59,03/29/2023
PGF,KEY J,493267876,KeyCorp,5.65,12/31/2079,07/30/2018,12/15/2023,BB+/Baa3,"303,043",6203290.21,0.58,03/29/2023
PGF,CFG E,174610402,Citizens Financial Group Inc,5.00,12/31/2079,10/28/2019,01/06/2025,BB+/Baa3,"308,439",6153358.05,0.58,03/29/2023
PGF,RNR G,G7498P127,RenaissanceRe Holdings Ltd,4.20,12/31/2079,07/12/2021,07/15/2026,BBB/NR,"350,328",6029144.88,0.56,03/29/2023
PGF,NTRSO,665859856,Northern Trust Corp,4.70,12/31/2079,11/05/2019,01/01/2025,BBB+/Baa1,"268,522",6014892.8,0.56,03/29/2023
PGF,HBANP,446150823,Huntington Bancshares Inc/OH,4.50,12/31/2079,02/09/2021,04/15/2026,BB+/Baa3,"335,654",5947369.3125,0.56,03/29/2023
PGF,HIG G,416518603,Hartford Financial Services Group Inc/The,6.00,12/31/2079,11/06/2018,11/15/2023,BBB-/Baa3,"231,613",5896866.98,0.55,03/29/2023
PGF,ESGRP,29359U109,Enstar Group Ltd,7.00,12/31/2079,06/27/2018,09/01/2028,BB+/NR,"268,522",5781278.66,0.54,03/29/2023
PGF,USB S,902973668,US Bancorp,4.50,12/31/2079,02/09/2022,04/15/2027,BBB+/Baa1,"268,482",5602883.7375,0.52,03/29/2023
PGF,FCNCP,319626305,First Citizens BancShares Inc/NC,5.38,12/31/2079,03/12/2020,03/15/2025,NR/Ba1,"231,613",5049163.4,0.47,03/29/2023
PGF,SNV E,87161C709,Synovus Financial Corp,5.88,12/31/2079,07/01/2019,07/01/2024,BB-/NR,"235,591",4962724.415,0.46,03/29/2023
PGF,RF E,7591EP886,Regions Financial Corp,4.45,12/31/2079,05/04/2021,06/15/2026,BB+/Baa3,"267,970",4735029.9,0.44,03/29/2023
PGF,CFG D,174610204,Citizens Financial Group Inc,6.35,12/31/2079,01/29/2019,04/06/2024,BB+/Baa3,"200,489",4711491.5,0.44,03/29/2023
PGF,ACGLO,03939A107,Arch Capital Group Ltd,5.45,12/31/2079,08/17/2017,04/28/2023,BBB/NA,"206,552",4647420.0,0.43,03/29/2023
PGF,COF N,14040H733,Capital One Financial Corp,4.25,12/31/2079,07/29/2021,09/01/2026,BB/Baa3,"282,322",4615964.7,0.43,03/29/2023
PGF,ATH B,04686J200,Athene Holding Ltd,5.62,12/31/2079,09/19/2019,09/30/2024,BBB/Baa3,"233,627",4579089.2,0.43,03/29/2023
PGF,VOYA B,929089209,Voya Financial Inc,5.35,12/31/2079,06/18/2019,09/15/2029,BBB-/Ba2,"201,964",4503797.2,0.42,03/29/2023
PGF,AEL B,025676602,American Equity Investment Life Holding Co,6.62,12/31/2079,06/17/2020,09/01/2025,BB/NR,"185,959",4498348.21,0.42,03/29/2023
PGF,ALL I,020002812,Allstate Corp/The,4.75,12/31/2079,11/08/2019,01/15/2025,BBB/Baa2,"200,779",4305329.194375,0.40,03/29/2023
PGF,AHL C,G05384154,Aspen Insurance Holdings Ltd,5.95,12/31/2079,05/02/2013,07/01/2023,BB+/Ba1u,"178,179",4053572.25,0.38,03/29/2023
PGF,AAM A,03769W203,Apollo Asset Management Inc,6.38,12/31/2079,03/07/2017,04/28/2023,BBB/NR,"190,492",4027000.88,0.38,03/29/2023
PGF,MTB H,55261F872,M&T Bank Corp,5.62,,04/05/2022,12/15/2026,BB+/NR,"167,803",4010491.7,0.37,03/29/2023
PGF,AAM B,03769W302,Apollo Asset Management Inc,6.38,12/31/2079,03/19/2018,04/28/2023,BBB/NR,"176,091",3778912.86,0.35,03/29/2023
PGF,BHFAM,10922N889,Brighthouse Financial Inc,4.62,12/31/2079,11/22/2021,12/25/2026,BBB-/Ba2,"236,084",3732488.04,0.35,03/29/2023
PGF,EQH C,29452E408,Equitable Holdings Inc,4.30,12/31/2079,01/08/2021,03/15/2026,BBB-/Baa3,"201,822",3700325.6412,0.35,03/29/2023
PGF,TCBIO,88224Q305,Texas Capital Bancshares Inc,5.75,12/31/2079,03/03/2021,06/15/2026,BB-/Ba2,"201,965",3675763.0,0.34,03/29/2023
PGF,RNR F,75968N309,RenaissanceRe Holdings Ltd,5.75,12/31/2079,06/18/2018,06/30/2023,BBB/Baa2,"160,736",3606915.84,0.34,03/29/2023
PGF,FITBO,316773860,Fifth Third Bancorp,4.95,12/31/2079,09/17/2019,09/30/2024,BB+/Baa3,"167,941",3600655.04,0.34,03/29/2023
PGF,OZKAP,06417N202,Bank OZK,4.62,12/31/2079,11/04/2021,11/15/2026,NR/Ba2,"234,925",3582606.25,0.33,03/29/2023
PGF,AL A,00912X500,Air Lease Corp,6.15,12/31/2079,03/05/2019,03/15/2024,BB+/NR,"167,803",3560779.66,0.33,03/29/2023
PGF,AHL E,G05384204,Aspen Insurance Holdings Ltd,5.62,12/31/2079,08/13/2019,10/01/2024,BB+/NR,"183,713",3496058.39,0.33,03/29/2023
PGF,AHL D,G05384162,Aspen Insurance Holdings Ltd,5.62,12/31/2079,09/20/2016,01/01/2027,BB+/Ba1u,"181,377",3369984.66,0.31,03/29/2023
PGF,SF D,860630862,Stifel Financial Corp,4.50,12/31/2079,07/22/2021,08/15/2026,BB-/NR,"203,869",3280231.8231,0.31,03/29/2023
PGF,WAFDP,938824307,Washington Federal Inc,4.88,12/31/2079,02/08/2021,04/15/2026,NR/Baa3,"200,884",3138875.175808,0.29,03/29/2023
PGF,FRC N,33616C696,First Republic Bank/CA,4.50,12/31/2079,11/29/2021,12/31/2026,CCC/Caa1,"501,869",2710092.6,0.25,03/29/2023
PGF,WAL A,957638406,Western Alliance Bancorp,4.25,12/31/2079,09/22/2021,09/30/2026,NR/Ba1,"203,479",2663540.11,0.25,03/29/2023
PGF,FRC M,33616C720,First Republic Bank/CA,4.00,12/31/2079,07/21/2021,08/30/2026,CCC/Caa1,"500,629",2518163.87,0.24,03/29/2023
PGF,FRC L,33616C746,First Republic Bank/CA,4.25,12/31/2079,02/09/2021,03/30/2026,CCC/Caa1,"497,587",2502862.61,0.23,03/29/2023
PGF,FRC K,33616C761,First Republic Bank/CA,4.12,12/31/2079,09/16/2020,10/30/2025,CCC/Caa1,"341,263",1706041.9896,0.16,03/29/2023
PGF,FRC J,33616C787,First Republic Bank/CA,4.70,12/31/2079,12/03/2019,12/31/2024,CCC/Caa1,"258,378",1384906.08,0.13,03/29/2023
PGF,FRC I,336158803,First Republic Bank/CA,5.50,12/31/2079,06/12/2018,06/30/2023,CCC/Caa1,"199,718",1230262.88,0.11,03/29/2023
PGF,SIVPQ,78486Q200,SVB Financial Group,5.25,12/31/2079,12/09/2019,02/15/2025,NR/WR,"237,596",237596.0,0.02,03/29/2023
PGF,SBNYL,82669G203,Signature Bank/New York NY,5.00,12/31/2079,12/17/2020,12/30/2025,NR/WR,"496,987",28328.259,0.00,03/29/2023
PGF,-CASH-,CASHUSD00,Cash/Receivables/Payables,.00,,01/01/1970,N/A,NR/NR,"15,223",15222.99,0.00,03/29/2023
PGF,AGPXX ,825252885,Invesco Government & Agency Portfolio,,,06/27/2016,N/A,NR/NR,"5,408",5407.62,0.00,03/29/2023
